boundary  -10 0  10 9.9
net net19   1.4241 0.0723   1.4559 0.0885
net net19   1.4251 0.0885   1.4549 0.1056
net net19   1.4261 0.1056   1.4539 0.1217
net net19   1.4271 0.1217   1.4529 0.1389
net net20   1.5183 0.0723   1.5537 0.0885
net net20   1.5193 0.0885   1.5527 0.1056
net net20   1.5203 0.1056   1.5517 0.1217
net net20   1.5213 0.1217   1.5507 0.1389
net net21  -0.3435 0.0700  -0.3285 0.1025
net net21  -0.3415 0.1025  -0.3305 0.1350
net net21  -0.3395 0.1350  -0.3325 0.1675
net net21  -0.3375 0.1675  -0.3345 0.2000
net net22  -0.2475 0.0700  -0.2325 0.1025
net net22  -0.2455 0.1025  -0.2345 0.1350
net net22  -0.2435 0.1350  -0.2365 0.1675
net net22  -0.2415 0.1675  -0.2385 0.2000
net net23  -0.1515 0.0700  -0.1365 0.1025
net net23  -0.1495 0.1025  -0.1385 0.1350
net net23  -0.1475 0.1350  -0.1405 0.1675
net net23  -0.1455 0.1675  -0.1425 0.2000
net net24  -0.0555 0.0700  -0.0405 0.1025
net net24  -0.0535 0.1025  -0.0425 0.1350
net net24  -0.0515 0.1350  -0.0445 0.1675
net net24  -0.0495 0.1675  -0.0465 0.2000
net net25   0.0405 0.0700   0.0555 0.1025
net net25   0.0425 0.1025   0.0535 0.1350
net net25   0.0445 0.1350   0.0515 0.1675
net net25   0.0465 0.1675   0.0495 0.2000
net net26   0.1365 0.0700   0.1515 0.1025
net net26   0.1385 0.1025   0.1495 0.1350
net net26   0.1405 0.1350   0.1475 0.1675
net net26   0.1425 0.1675   0.1455 0.2000
net net27   0.2325 0.0700   0.2475 0.1025
net net27   0.2345 0.1025   0.2455 0.1350
net net27   0.2365 0.1350   0.2435 0.1675
net net27   0.2385 0.1675   0.2415 0.2000
net net28   0.3285 0.0700   0.3435 0.1025
net net28   0.3305 0.1025   0.3415 0.1350
net net28   0.3325 0.1350   0.3395 0.1675
net net28   0.3345 0.1675   0.3375 0.2000
net net29   0.4245 0.0700   0.4395 0.1025
net net29   0.4265 0.1025   0.4375 0.1350
net net29   0.4285 0.1350   0.4355 0.1675
net net29   0.4305 0.1675   0.4335 0.2000
net net30   0.5205 0.0700   0.5355 0.1025
net net30   0.5225 0.1025   0.5335 0.1350
net net30   0.5245 0.1350   0.5315 0.1675
net net30   0.5265 0.1675   0.5295 0.2000
net net31   0.6165 0.0700   0.6315 0.1025
net net31   0.6185 0.1025   0.6295 0.1350
net net31   0.6205 0.1350   0.6275 0.1675
net net31   0.6225 0.1675   0.6255 0.2000
net net32   0.7125 0.0700   0.7275 0.1025
net net32   0.7145 0.1025   0.7255 0.1350
net net32   0.7165 0.1350   0.7235 0.1675
net net32   0.7185 0.1675   0.7215 0.2000
net net33   0.8085 0.0700   0.8235 0.1025
net net33   0.8105 0.1025   0.8215 0.1350
net net33   0.8125 0.1350   0.8195 0.1675
net net33   0.8145 0.1675   0.8175 0.2000
net net34   0.9045 0.0700   0.9195 0.1025
net net34   0.9065 0.1025   0.9175 0.1350
net net34   0.9085 0.1350   0.9155 0.1675
net net34   0.9105 0.1675   0.9135 0.2000
net net35   1.0005 0.0700   1.0155 0.1025
net net35   1.0025 0.1025   1.0135 0.1350
net net35   1.0045 0.1350   1.0115 0.1675
net net35   1.0065 0.1675   1.0095 0.2000
net net36   1.0965 0.0700   1.1115 0.1025
net net36   1.0985 0.1025   1.1095 0.1350
net net36   1.1005 0.1350   1.1075 0.1675
net net36   1.1025 0.1675   1.1055 0.2000
net net37   1.1925 0.0700   1.2075 0.1025
net net37   1.1945 0.1025   1.2055 0.1350
net net37   1.1965 0.1350   1.2035 0.1675
net net37   1.1985 0.1675   1.2015 0.2000
net net38   1.2885 0.0700   1.3035 0.1025
net net38   1.2905 0.1025   1.3015 0.1350
net net38   1.2925 0.1350   1.2995 0.1675
net net38   1.2945 0.1675   1.2975 0.2000
net net39   1.4805 0.0700   1.4955 0.1025
net net39   1.4825 0.1025   1.4935 0.1350
net net39   1.4845 0.1350   1.4915 0.1675
net net39   1.4865 0.1675   1.4895 0.2000
net net40  -0.2421 0.2470  -0.2120 0.3059
net net41  -0.1409 0.2470  -0.1051 0.3059
net net42   0.0453 0.2470   0.0811 0.3059
net net43   0.1149 0.2470   0.1544 0.3059
net net44   0.1892 0.2470   0.2244 0.3059
net net45   0.2612 0.2470   0.2944 0.3059
net net46   0.3305 0.2470   0.3744 0.3059
net net47   0.5246 0.2470   0.5692 0.3059
net net48   0.6076 0.2470   0.6417 0.3059
net net49   0.6766 0.2470   0.7107 0.3059
net net50   0.7453 0.2470   0.7768 0.3059
net net51   0.9221 0.2470   0.9579 0.3059
net net52   1.0290 0.2470   1.0591 0.3059
net net53  -0.3370 0.2100  -0.2930 0.2370
net net54  -0.2470 0.2100  -0.2030 0.2370
net net55  -0.1570 0.2100  -0.1130 0.2370
net net56  -0.0670 0.2100  -0.0230 0.2370
net net57   0.0230 0.2100   0.0670 0.2370
net net58   0.1130 0.2100   0.1570 0.2370
net net59   0.2030 0.2100   0.2470 0.2370
net net60   0.2930 0.2100   0.3370 0.2370
net net61   0.3830 0.2100   0.4270 0.2370
net net62   0.4730 0.2100   0.5170 0.2370
net net63   0.5630 0.2100   0.6070 0.2370
net net64   0.7430 0.2100   0.7870 0.2370
net net65   0.8330 0.2100   0.8770 0.2370
net net66   0.9230 0.2100   0.9670 0.2370
net net67   1.0130 0.2100   1.0570 0.2370
net net68   1.1030 0.2100   1.1470 0.2370
net net69   1.1930 0.2100   1.2370 0.2370
net net70   1.2830 0.2100   1.3270 0.2370
net net71   1.3730 0.2100   1.4170 0.2370



